f_PIDENT f_Peak1 f_Peak2 f_Peak3 f_Cen1 f_Cen2 f_Cen3 f_Size1 f_Size2 f_Size3 f_Sum f_Peak f_Volume
16.0 96.0 47.0 38.0 96.00801355061951 47.4602885853376 34.934418530929086 2.550025809734548 3.769979116133485 3.8720209361175795 2373.4855601787567 5.928430557250977 1291.0
22.0 84.0 47.0 47.0 84.12285897853614 46.13517372655751 47.04968974164937 2.6006816490596996 3.214870795844722 3.907555427713371 4570.338376134634 7.153456687927246 1959.0
35.0 52.0 36.0 55.0 54.23057974384424 36.01588189834673 54.08415207552782 4.324865828573761 2.9362654533753814 4.002646728276375 7165.288240835071 7.176734447479248 3000.0
41.0 104.0 50.0 61.0 104.90847318278591 48.37647276848694 60.05242396016631 2.906591027213289 3.8712171036204026 3.7976001528250207 5260.714663028717 10.438968658447266 2267.0
48.0 32.0 76.0 65.0 30.85256330028476 77.26031450667304 65.57282558489483 2.92363316293204 2.849039369092202 3.8687846171794424 3357.2486899346113 7.665566444396973 1590.0
49.0 58.0 102.0 66.0 60.24977330456814 103.85168819952813 65.80781669491496 3.507855498372947 3.3685784664436387 3.5862885823238915 6678.840945363045 9.318577766418457 2491.0
53.0 25.0 61.0 74.0 22.78171715622727 61.763572423793 74.20347833674828 3.4981920995844114 3.2099515300156365 3.561330901250062 5542.734029233456 9.474502563476562 2352.0
72.0 98.0 30.0 93.0 98.66403714769297 29.75163755337411 91.73911799093818 2.9558622723732637 2.9970144461680737 4.6087994216366726 6505.660847216845 8.806178092956543 2477.0
74.0 18.0 85.0 94.0 18.262850471972712 84.71076783429935 93.35735321332612 1.2902316112766234 2.2350821970781434 1.6498192602911328 211.66082364320755 3.8756918907165527 151.0
